"Startup Name","Industry","Funding Rounds","Investment Amount (USD)","Valuation (USD)","Number of Investors","Country","Year Founded","Growth Rate (%)"
"Startup_43","E-commerce","5","1638827482.93","3545351528.3057","38","Brazil","2017","167.34"
"Startup_44","SaaS","5","2767906479.48","11784319878.46","17","USA","2005","153.61"
"Startup_45","E-commerce","7","3480520968.8","13041915911.935","30","France","2010","125.65"
"Startup_46","AI","5","3254439463.31","7876334439.0498","20","Australia","2016","147.04"
"Startup_47","Blockchain","6","4032615160.05","20078014719.068","38","France","2000","48.73"
"Startup_48","E-commerce","2","475269528.08","2223977127.626","49","Germany","2012","48.13"
"Startup_49","Biotech","2","4897855433.55","8005010523.6801","16","France","2011","122.39"
"Startup_50","HealthTech","10","1979604878.09","8694160540.9713","4","UK","2013","12.64"
"Startup_51","Blockchain","4","2876153119.3","5826669173.8594","18","Australia","2001","138.19"
"Startup_52","Fintech","8","2321745880.25","6758206634.6705","32","USA","2000","192.74"
"Startup_53","Blockchain","10","675587864.57","1229453482.5394","26","USA","2014","139.82"
"Startup_54","E-commerce","3","1176101216.28","3251064586.1169","4","Australia","2002","198.29"
"Startup_55","HealthTech","2","3604778899.84","16922409671.521","3","Germany","2018","71.9"
"Startup_56","E-commerce","7","4830737938.1","17347814945.719","5","Brazil","2020","92.66"
"Startup_57","SaaS","1","4360313592","9907684658.8289","37","China","2019","160.82"
"Startup_58","HealthTech","6","2028361128.74","6102998475.3289","29","Germany","2009","119.37"
"Startup_59","AI","2","2756855232.44","11130347512.392","25","Australia","2007","157"
"Startup_60","Fintech","6","820455124.6","1840836654.7642","31","Australia","2009","57.83"
"Startup_61","AI","5","4437872047.6","6878102854.7587","22","Singapore","2013","107.86"
"Startup_62","SaaS","8","1924235656.36","3798190442.1464","37","UK","2010","104.21"
"Startup_63","Biotech","4","2463967074.34","5665325649.9593","44","France","2008","53.86"
"Startup_64","E-commerce","3","4470788164.24","19418366785.326","16","USA","2019","58.4"
"Startup_65","AI","3","4815534280.92","20158491149.735","45","China","2008","25.42"
"Startup_66","AI","6","365913860.56","1672037254.1104","21","India","2017","144.35"
"Startup_67","SaaS","6","2996659583.02","4667230455.8847","48","Brazil","2006","62.22"
"Startup_68","AI","3","3711464088.69","11066201278.736","15","Canada","2013","87.42"
"Startup_69","Biotech","6","928128649.47","4634153806.2398","21","Australia","2007","187.21"
"Startup_70","Blockchain","1","2603523861.44","9563072271.6353","19","France","2007","107.67"
"Startup_71","HealthTech","7","3644872687.35","11926210327.427","14","Canada","2010","59.98"
"Startup_72","Blockchain","4","744631010.32","1620392801.4187","2","Singapore","2008","123.34"
"Startup_73","E-commerce","8","1344780386.06","4537818813.9825","19","Australia","2005","179.18"
"Startup_74","Fintech","3","491018020.84","1354841679.9969","20","India","2013","165.57"
"Startup_75","Biotech","1","1582882524.88","5586959852.4532","16","India","2020","144.16"
"Startup_76","SaaS","10","1085427021.26","4630172763.5262","18","Australia","2016","91.33"
"Startup_77","Blockchain","7","1340475423.36","2357879218.2284","20","Singapore","2004","81.98"
"Startup_78","HealthTech","8","4940530156.26","23772801009.395","14","India","2021","108.11"
"Startup_79","Fintech","8","2749898672.7","5542968257.2878","9","Germany","2011","189.55"
"Startup_80","E-commerce","8","4533989298.71","8054285187.1481","22","India","2005","69.71"
"Startup_81","Biotech","8","844854106.72","2590555965.715","23","USA","2002","69.33"
"Startup_82","HealthTech","1","3631343014.13","7772600871.7803","34","USA","2010","28.16"
"Startup_83","EdTech","8","3689561074.31","15527195348.044","32","Singapore","2012","159.5"
"Startup_84","SaaS","1","1876264361.81","6903335389.0913","14","Singapore","2023","118.95"
"Startup_85","Biotech","5","2447270415.5","8095858828.0673","27","China","2021","129.03"
"Startup_86","Biotech","7","2407386442.25","8783700785.2055","10","Germany","2002","182.23"
"Startup_87","HealthTech","2","4730860833.16","8195466150.1807","34","Canada","2000","170.46"
"Startup_88","AI","3","2700679626.1","4800271506.7599","14","Australia","2020","107"
"Startup_89","SaaS","9","1054977036.09","3208096453.8044","31","China","2005","157.79"
"Startup_90","E-commerce","9","2701705689.18","10238979645.814","8","Australia","2010","104.13"
"Startup_91","SaaS","7","1480174017.83","6153889306.3934","24","USA","2016","159.77"
"Startup_92","Blockchain","7","1868556515.9","5626482827.8713","48","China","2006","74.81"
"Startup_93","HealthTech","4","4965764721.83","22063441300.706","19","USA","2022","185.18"
"Startup_94","EdTech","6","4373093561.43","14431864169.345","21","Singapore","2017","31.3"
"Startup_95","HealthTech","4","4236712037.57","18506506243.387","21","Canada","2012","27.37"
"Startup_96","Fintech","3","835931781.31","2239262009.8849","23","Singapore","2017","162.48"
"Startup_97","EdTech","7","1110163040.41","3432586808.6568","43","France","2012","122.79"
"Startup_98","SaaS","5","817466253.48","2610638765.1168","40","Brazil","2010","160.46"
"Startup_99","E-commerce","3","540940572.76","2291586359.2945","42","France","2001","59.69"
"Startup_100","Blockchain","8","3308060362.77","5174334068.1344","39","Canada","2005","5.42"
"Startup_101","Fintech","3","222399646.12","866057139.43245","9","UK","2005","14.62"
"Startup_102","EdTech","7","4504529995.14","18845746993.929","21","Singapore","2018","195.16"
"Startup_103","Blockchain","4","4777022152.23","9085127518.3022","8","Australia","2007","40.44"
"Startup_104","Biotech","1","4255546911.86","11515638960.568","9","USA","2000","92.03"
"Startup_105","Fintech","10","4055211093.34","16887114468.163","21","Australia","2009","109.49"
"Startup_106","E-commerce","5","1022453449.75","2849976436.5766","45","France","2023","22.65"
"Startup_107","SaaS","7","1862792339.72","8231911404.889","25","Germany","2013","151.19"
"Startup_108","SaaS","3","2793350138.78","6641452650.3491","24","Germany","2012","169.31"
"Startup_109","EdTech","1","190552569.77","579122421.69487","21","Singapore","2015","6.85"
"Startup_110","E-commerce","3","4176182629.51","10240648046.878","37","Australia","2003","36.45"
"Startup_111","HealthTech","4","291159535.66","1212955100.3723","26","UK","2001","98.27"
"Startup_112","SaaS","6","3957776781.25","13305043815.736","6","USA","2001","14.82"
"Startup_113","Biotech","2","4061720586.36","7008812342.1533","34","Brazil","2018","87.1"
"Startup_114","Biotech","2","1973996602.66","5342730965.9157","25","Australia","2017","21.01"
"Startup_115","SaaS","6","1207908188.67","5176553240.2185","24","Germany","2018","135.34"
"Startup_116","HealthTech","10","4148060234.72","19654238527.671","12","Singapore","2020","192.62"
"Startup_117","HealthTech","5","297037415.8","631590080.98306","27","Germany","2022","10.75"
"Startup_118","EdTech","5","3187593538.06","14966432137.194","2","France","2021","166.15"
"Startup_119","Biotech","9","4898710204.12","10016527782.741","9","France","2004","107.44"
"Startup_120","AI","1","2434425122.57","7540340367.7467","8","USA","2003","175.64"
"Startup_121","Fintech","8","3231666823.75","8713378948.1864","15","Brazil","2014","62.93"
"Startup_122","HealthTech","7","359706950.69","893681743.52786","45","Australia","2007","139.11"
"Startup_123","EdTech","7","12109878.52","35333149.763195","35","France","2001","61.1"
"Startup_124","AI","4","4058325476.85","10666646232.548","3","China","2014","172.42"
"Startup_125","Biotech","9","1049458896.63","3791331978.2543","24","Brazil","2004","100.65"
"Startup_126","E-commerce","6","4243311793.92","20389236539.749","12","Canada","2014","20.41"
"Startup_127","SaaS","9","4724792423.72","22577045559.212","36","Canada","2014","148.05"
"Startup_128","Blockchain","1","996364970.4","4709629475.22","35","Singapore","2010","181.98"
"Startup_129","Blockchain","6","3357130456.98","13831720869.292","14","Brazil","2011","131.76"
"Startup_130","Biotech","10","1485976623.94","5820844542.5373","40","Germany","2017","112.16"
"Startup_131","EdTech","9","1086640783.67","3375032748.5319","50","Brazil","2023","179.37"
"Startup_132","Blockchain","4","670778423.23","2036188590.9963","31","Singapore","2021","75.42"
"Startup_133","AI","9","2162442988.16","9684369294.2972","13","USA","2011","121.76"
"Startup_134","Blockchain","1","3353919321.47","14101768667.144","30","Germany","2008","77.07"
"Startup_135","EdTech","4","2832206309.3","8112943643.7868","32","Brazil","2010","111.76"
"Startup_136","EdTech","1","3021364194.14","8955654521.8328","23","Singapore","2017","6.27"
"Startup_137","Biotech","9","1946598865.69","3284018974.7738","47","China","2017","101.04"
"Startup_138","Fintech","8","1489972758.45","6800634564.4589","27","China","2022","35.29"
"Startup_139","SaaS","10","3735587366.9","12047108054.165","26","Brazil","2016","98.03"
"Startup_140","Fintech","8","518119024.64","1848811352.6708","4","Australia","2023","60.11"
"Startup_141","SaaS","10","2947681328.36","10472893197.385","4","UK","2022","115.34"
"Startup_142","HealthTech","5","1977534387.2","7797893013.343","19","India","2005","181.97"
"Startup_143","Fintech","3","4770544813.57","12197472011.325","20","Singapore","2000","34.12"
"Startup_144","AI","1","3369684711.8","12010652855.448","47","Brazil","2022","60.81"
"Startup_145","EdTech","10","4766934837.14","22688495648.328","10","France","2005","37.06"
"Startup_146","Fintech","9","3908318141","15444336263.034","31","Germany","2018","142.43"
"Startup_147","SaaS","9","4769084379.19","14035036447.835","41","China","2021","192.97"
"Startup_148","EdTech","10","4955751623.38","16105806924.645","31","Canada","2014","68.54"
"Startup_149","SaaS","2","910772164.92","1496492548.4851","8","India","2013","36.1"
"Startup_150","EdTech","10","1170195349.16","2107219309.2614","9","Canada","2022","92.8"
"Startup_151","Fintech","6","1967034352.33","5472960035.6731","17","Australia","2007","65.59"
"Startup_152","Biotech","2","621222707.35","2548933014.4338","32","UK","2007","157.7"
"Startup_153","Biotech","10","2136105819.3","6159536137.7427","12","India","2020","69.58"
"Startup_154","EdTech","3","2368764171.87","11722669062.171","32","France","2002","118.16"
"Startup_155","Blockchain","1","821122733.28","3928588827.5011","26","Germany","2019","198.98"
"Startup_156","Biotech","5","4780102280.95","19249131120.151","50","USA","2019","33.75"
"Startup_157","AI","4","2804170174.14","6711381134.8821","1","India","2008","49.31"
"Startup_158","EdTech","9","1210756532.74","5972236369.3723","25","Singapore","2011","143.16"
"Startup_159","AI","4","3380537691.88","13459651069.247","36","Brazil","2011","34.61"
"Startup_160","AI","8","4661985381.5","22098096261.675","43","China","2012","51.38"
"Startup_161","AI","1","408425258.08","1371906998.9825","6","Brazil","2020","104.06"
"Startup_162","EdTech","1","1953427282.17","8347575180.9264","44","UK","2019","53.66"
"Startup_163","AI","6","2108321986.66","7771127335.7121","3","Australia","2020","198.66"
"Startup_164","E-commerce","8","2579938016.52","12689109686.174","28","Germany","2018","124.32"
"Startup_165","HealthTech","3","1792797298.66","8885946522.6376","30","France","2018","106.38"
"Startup_166","Fintech","7","2225176804.86","7460309814.816","11","Singapore","2017","161.14"
"Startup_167","AI","4","3942136132.46","13331722858.072","18","Canada","2011","194.8"
"Startup_168","SaaS","5","2050994893.77","3323018202.0463","50","Australia","2015","58.52"
"Startup_169","EdTech","1","1497188953.5","3463957403.99","4","India","2013","84.16"
"Startup_170","EdTech","7","2795286271.07","9372294266.0599","11","Brazil","2005","26.14"
"Startup_171","E-commerce","6","4069844380.58","10407319506.515","24","China","2015","29.38"
"Startup_172","SaaS","9","74056826.76","231893726.74083","41","Canada","2009","20.57"
"Startup_173","AI","8","4160635769.99","7671882583.8529","17","Canada","2021","117.18"
"Startup_174","E-commerce","7","1246281478.08","3529517302.8014","44","USA","2022","146.5"
"Startup_175","Fintech","10","2163501159.34","5677567960.2755","23","India","2018","144.39"
"Startup_176","E-commerce","10","3023593160.48","9708896500.8314","2","Germany","2011","174.66"
"Startup_177","AI","6","4022507020.31","17218730897.773","10","Canada","2018","74.68"
"Startup_178","Blockchain","8","2639730016.81","8690078938.9767","50","Germany","2023","190.91"
"Startup_179","EdTech","8","2980685741.88","6492509510.2325","49","Brazil","2015","190.16"
"Startup_180","Biotech","5","4585075338.58","19523891245.314","36","Germany","2002","129.84"
"Startup_181","Fintech","9","3472230658.56","14970962379.875","20","Singapore","2022","135.39"
"Startup_182","SaaS","5","2676973040.4","10097355729.53","30","Singapore","2019","79.06"
"Startup_183","Blockchain","2","859760107.91","3760108625.5216","19","USA","2006","69.53"
"Startup_184","Fintech","2","4718625604.18","15939288190.454","43","France","2021","36.79"
"Startup_185","E-commerce","10","2159651827.77","9752567479.6145","4","Germany","2013","119.32"
"Startup_186","E-commerce","9","3419195284.17","9807518461.7753","31","Australia","2000","146.31"
"Startup_187","Fintech","1","4692850983.3","9430583718.7548","38","Australia","2019","163.14"
"Startup_188","AI","3","933765489.98","3396760378.7125","35","Germany","2012","38.02"
"Startup_189","SaaS","8","731636879.73","1108299044.849","15","Canada","2013","39.55"
"Startup_190","HealthTech","1","443939762.53","697379814.57911","33","USA","2023","102.51"
"Startup_191","EdTech","5","3537897853.25","10415760749.112","24","UK","2002","87.76"
"Startup_192","HealthTech","6","2454112015.39","4119459442.3809","31","UK","2017","92.85"
"Startup_193","Biotech","3","3028499025.45","8249717640.8136","23","Brazil","2001","166.84"
"Startup_194","AI","6","1512009898.68","5283177735.6817","8","China","2003","14.29"
"Startup_195","Blockchain","6","4322413750.27","20690412801.232","12","Brazil","2019","121.4"
"Startup_196","Biotech","8","168565481.2","727195576.38113","5","UK","2013","171.9"
"Startup_197","E-commerce","9","4179505137.7","8856665634.2059","29","Germany","2000","75.7"
"Startup_198","AI","9","2228321054.22","8017264022.3475","1","Australia","2002","74.59"
"Startup_199","Fintech","5","633792175.1","2966463386.1173","34","India","2015","91.34"
"Startup_200","SaaS","6","1475455253.97","3684352503.8972","4","Germany","2013","144.69"
"Startup_201","EdTech","3","542731279.17","1969040721.4526","1","Australia","2019","24.45"
"Startup_202","HealthTech","10","4330028544.99","7931295284.5667","1","Canada","2013","40.6"
"Startup_203","SaaS","6","685270370.05","2402454292.4264","50","Australia","2006","47.31"
"Startup_204","HealthTech","6","1258425677.69","5298085929.7477","8","Australia","2013","37.21"
"Startup_205","SaaS","1","1550418955.9","6253327057.3994","2","India","2004","98.86"
"Startup_206","Fintech","4","4746683505.45","7761659263.0891","24","USA","2016","130.02"
"Startup_207","Fintech","6","3624908618.04","12768911221.391","16","France","2015","53.41"
"Startup_208","Biotech","4","3348055915.81","11313994823.993","39","USA","2004","16.08"
"Startup_209","SaaS","10","2059767260.11","9029865493.3728","11","Singapore","2021","110.7"
"Startup_210","EdTech","9","998855411.79","4208170808.1526","8","Brazil","2011","151.06"
"Startup_211","EdTech","6","4645711353.76","14179348714.215","24","India","2021","177.87"
"Startup_212","AI","6","3728949345.33","15948353330.895","21","Singapore","2023","111.77"
"Startup_213","AI","5","2787690069.46","10481365711.539","45","China","2009","10.48"
"Startup_214","EdTech","9","2679394095.8","11494147053.679","10","China","2010","165.9"
"Startup_215","EdTech","7","439284861.62","1562829428.6528","27","India","2019","106.86"
"Startup_216","Biotech","9","2577216182.09","12253644328.431","28","China","2016","140.7"
"Startup_217","Biotech","4","4445077510.45","22111913741.37","43","China","2018","141.44"
"Startup_218","Blockchain","4","4695901675.82","20788206317.314","42","UK","2017","90.56"
"Startup_219","SaaS","5","3506488816.37","16858063236.606","29","UK","2021","188.35"
"Startup_220","AI","2","3243318328.48","8884770582.0012","34","UK","2012","65.43"
"Startup_221","Fintech","10","2390702822.95","9276016886.4193","42","China","2010","104.42"
"Startup_222","Biotech","7","3377630330.67","9382352167.4352","4","China","2018","153.71"
"Startup_223","HealthTech","8","3458218709.89","7842816033.9004","9","Brazil","2014","138.81"
"Startup_224","Fintech","7","3731753092.25","16420535787.809","50","France","2018","160.96"
"Startup_225","Biotech","7","3632948850.48","13901643179.469","6","India","2010","26.01"
"Startup_226","AI","9","1266365818.93","6118534838.5791","35","USA","2015","42.96"
"Startup_227","Fintech","2","3823899177.04","18201047898.483","50","Germany","2005","103.9"
"Startup_228","EdTech","8","363240396.83","1219367670.2406","25","India","2011","102.15"
"Startup_229","EdTech","8","386027409.33","1930125716.3253","26","China","2016","105.83"
"Startup_230","AI","4","1695120557.5","5083482836.033","1","USA","2004","100.82"
"Startup_231","AI","9","652805002.99","1395188276.0305","22","Canada","2005","25.26"
"Startup_232","Blockchain","8","854377165.54","2728289650.9789","31","Australia","2007","29.43"
"Startup_233","HealthTech","9","1075247880.98","4790224564.9623","11","Germany","2015","130.56"
"Startup_234","Blockchain","8","400841101.43","662110760.74165","15","Brazil","2010","198.01"
"Startup_235","E-commerce","5","379381502.74","747379334.64578","39","Canada","2019","122.77"
"Startup_236","Fintech","4","4197876048.33","12825152328.547","8","Canada","2000","76.55"
"Startup_237","Biotech","9","2527949676.1","4204560908.7616","19","France","2010","119.46"
"Startup_238","E-commerce","2","1093248259.89","2279779309.4101","35","Australia","2003","140.86"
"Startup_239","HealthTech","7","4023736139.69","14714029689.87","36","USA","2016","16.34"
"Startup_240","SaaS","7","1253743174.76","4041124098.2338","45","UK","2018","63.38"
"Startup_241","EdTech","10","1017523655.27","3688922130.4921","33","India","2022","158.64"
"Startup_242","E-commerce","5","1342310942.23","3446562281.0688","24","Brazil","2021","57.58"
"Startup_243","Fintech","3","2717142585.21","11642202397.103","15","Canada","2023","156.11"
"Startup_244","Fintech","7","2043421497.37","5265703195.4551","28","Brazil","2018","33.62"
"Startup_245","EdTech","10","4898183493.34","22870233548.117","4","Canada","2014","86.74"
"Startup_246","Blockchain","1","2240610148.38","5028323038.9888","24","Australia","2019","114.88"
"Startup_247","Biotech","4","2271018470.67","4837009968.867","48","India","2016","105.47"
"Startup_248","EdTech","8","4247685608.22","7909848190.506","25","Brazil","2000","153.65"
"Startup_249","Fintech","6","2133781809.28","7258306476.7868","6","Singapore","2001","69.38"
"Startup_250","HealthTech","1","1520118508.17","6084662753.8123","44","UK","2005","153.25"
"Startup_251","Blockchain","6","3000757848.42","5904647394.3291","21","USA","2017","88.31"
"Startup_252","AI","4","4346289463.85","7001483722.2539","28","India","2021","149.6"
"Startup_253","HealthTech","3","1723538065.72","3114308797.6378","11","Australia","2020","83.32"
"Startup_254","Fintech","1","1182544803.45","4393227757.742","2","UK","2006","10.96"
"Startup_255","AI","1","2063226365.66","7644608141.1251","14","USA","2015","156.25"
"Startup_256","Fintech","2","4597521560.08","14390499979.692","39","Canada","2015","192.68"
"Startup_257","AI","10","1374644681.58","6097130881.918","38","Germany","2000","14.04"
"Startup_258","EdTech","4","1750123034.6","4508754227.4342","27","Germany","2001","167.53"
"Startup_259","Biotech","2","2332266749.1","11093368482.258","38","USA","2015","8.66"
"Startup_260","Biotech","3","528679036.65","2636579981.1109","48","Brazil","2003","191.88"
"Startup_261","E-commerce","2","3543353980.54","14166396321.981","8","Singapore","2001","33.04"
"Startup_262","EdTech","5","3564928262.83","16855295900.778","19","Germany","2011","129.82"
"Startup_263","Biotech","4","1227999591.44","3925379084.6856","7","China","2003","56.28"
"Startup_264","SaaS","5","2383040228.11","5541034771.2557","14","China","2010","158.96"
"Startup_265","E-commerce","9","4201382899.47","6890778313.5891","36","UK","2003","183.68"
"Startup_266","E-commerce","9","2078074160.43","3660002170.2095","23","Germany","2022","70.97"
"Startup_267","E-commerce","9","2350701523.66","10258454822.635","29","Canada","2004","80.76"
"Startup_268","AI","2","2730965394.87","11642934284.165","47","Australia","2017","8.18"
"Startup_269","AI","2","866649670.39","1996872950.9898","29","Singapore","2009","102.04"
"Startup_270","Biotech","8","2807336928.31","13664307167.48","48","Singapore","2009","115.39"
"Startup_271","E-commerce","8","2718670322.77","4198200861.9873","16","France","2008","91.48"
"Startup_272","Biotech","4","3036366847.86","10259128392.31","14","Singapore","2013","88.75"
"Startup_273","Fintech","2","3733885388.61","14349424226.241","24","Brazil","2023","47.81"
"Startup_274","SaaS","10","1374121897.47","6101680789.0026","17","Singapore","2021","191.49"
"Startup_275","E-commerce","1","1910177328.71","9043004199.5183","47","USA","2000","114.64"
"Startup_276","Blockchain","1","1851348304.06","7285139646.5538","48","Brazil","2001","28.82"
"Startup_277","HealthTech","8","557513324.84","900017797.15726","49","Singapore","2022","64.87"
"Startup_278","EdTech","2","3728214009.3","6084761595.1119","18","UK","2020","150.9"
"Startup_279","AI","7","3426004016.16","10176253842.544","36","Germany","2015","84.19"
"Startup_280","E-commerce","9","4199399903.81","10507816026.809","5","Canada","2015","82.77"
"Startup_281","Biotech","9","4429201419.3","12868229775.431","33","India","2006","5.06"
"Startup_282","SaaS","5","4017662422.97","8049152109.1639","14","Singapore","2011","102.75"
"Startup_283","EdTech","6","1983050394.4","6548855343.6826","42","Brazil","2007","138.6"
"Startup_284","AI","9","3446049313.9","14038594476.506","46","China","2003","154.18"
"Startup_285","E-commerce","10","3286018254.96","13024216131.985","1","Australia","2008","153.81"
"Startup_286","EdTech","3","758989177","2810879811.0385","3","France","2012","165.73"
"Startup_287","HealthTech","9","272245749.16","586823837.53369","20","Singapore","2010","37.6"
"Startup_288","EdTech","5","3536485933.08","13706551232.891","31","Canada","2003","55.53"
"Startup_289","Biotech","4","1111359775.46","3461402771.3488","41","Brazil","2008","151.06"
"Startup_290","HealthTech","2","2815145008.41","7938799567.4653","42","Germany","2009","110.84"
"Startup_291","HealthTech","10","3256827302.84","8356443833.3877","27","France","2009","20.63"
"Startup_292","AI","9","4811067145.95","15974120040.94","29","Australia","2006","177.41"
"Startup_293","Blockchain","6","1317604310.2","3633511531.8775","1","Brazil","2007","34.8"
"Startup_294","Biotech","8","307683729.81","946106844.73077","3","Brazil","2019","194.96"
"Startup_295","AI","8","2668300646.16","4466157555.4311","48","Australia","2016","20.79"
"Startup_296","Fintech","10","3909244045.54","9917338640.8975","31","Canada","2003","142.91"
"Startup_297","Fintech","10","3548649517.26","14213489868.558","36","France","2013","65.5"
"Startup_298","Blockchain","1","3711959836.21","12422356505.838","24","UK","2022","164.21"
"Startup_299","Blockchain","9","1196962004.3","2365314262.2532","17","India","2012","100.81"
"Startup_300","EdTech","5","1886066715.08","9022527749.9143","7","Brazil","2009","51.42"
"Startup_301","Blockchain","5","3892965584.92","18147745226.081","40","Canada","2009","61.66"
"Startup_302","HealthTech","5","2870553188.63","12659357265.213","20","Brazil","2002","81.38"
"Startup_303","AI","6","3071473663.91","12822732523.985","27","India","2005","45.14"
"Startup_304","E-commerce","9","243141363.56","1095687007.4638","10","UK","2021","90.91"
"Startup_305","Fintech","4","2624105744.24","6449886361.7132","31","Canada","2006","160.76"
"Startup_306","Fintech","5","3504415468.77","12551816823.236","40","Brazil","2023","187.78"
"Startup_307","HealthTech","6","2383337774.89","4277942084.2562","38","Australia","2007","82.24"
"Startup_308","Blockchain","4","999722963.5","1867118152.3081","37","Singapore","2014","44.33"
"Startup_309","Biotech","7","1902244072.14","5224433496.7158","28","UK","2020","15.66"
"Startup_310","EdTech","5","3913849603.83","15026684238.999","34","UK","2020","69.41"
"Startup_311","AI","8","556489564.23","1373231565.2238","12","France","2017","164.4"
"Startup_312","Fintech","10","2263649695.87","4120683165.2275","39","USA","2023","26.96"
"Startup_313","Biotech","4","4580496812.16","7186503246.451","32","Brazil","2017","86.41"
"Startup_314","AI","4","88022376.7","305567170.66571","30","Australia","2023","83.51"
"Startup_315","HealthTech","7","181388776.52","501478318.9021","50","Australia","2015","179.5"
"Startup_316","AI","7","3064309690.41","6281758015.427","14","India","2019","63.07"
"Startup_317","Fintech","7","4234699339.18","10936348473.167","18","UK","2000","26.54"
"Startup_318","Biotech","2","572692370.7","1282025513.3828","24","Germany","2015","125.51"
"Startup_319","EdTech","5","2550126891.56","12370909256.718","31","Singapore","2016","167.52"
"Startup_320","AI","8","1891274738.16","5257962346.3695","14","Canada","2020","161.65"
"Startup_321","AI","3","1935618157.72","4783106425.7209","29","Singapore","2021","25.9"
"Startup_322","SaaS","2","2042971783.75","7247814827.6279","30","France","2010","124.72"
"Startup_323","SaaS","2","2427592593.64","4737980887.9313","39","Brazil","2000","68.89"
"Startup_324","AI","5","3537064312.9","17158731566.589","10","Singapore","2013","29.71"
"Startup_325","Fintech","1","3224985024.02","12294854490.068","7","Australia","2010","127.81"
"Startup_326","HealthTech","10","4334970078.47","18560084401.667","37","Singapore","2007","74.27"
"Startup_327","E-commerce","8","3442333684.08","14587083195.459","24","Australia","2019","133.48"
"Startup_328","EdTech","8","4111180278.29","7725412065.4706","42","Germany","2019","9.13"
"Startup_329","SaaS","2","3246045212.87","9945625802.0097","4","Brazil","2023","165.57"
"Startup_330","AI","6","1407628042.18","2837837328.1082","11","Singapore","2002","73.2"
